,id,Price,Zip,Type,Subtype,Locality,Surroundings type,Living area,Number of rooms,Bathrooms,Construction year,Number of facades,Swimming pool,Furnished,Open fire,Terrace,Terrace surface,Garden,Garden surface,Primary energy consumption,Energy class,Heating type,Kitchen values,Building Cond. values,Parking,Province,Urban_value,Normal_apt,Big_apt
14343,10597488.0,410000.0,9940.0,apartment,ground floor,evergem sleidinge,Isolated,146.0,3.0,1.0,2025.0,2.0,0.0,0.0,0.0,1.0,29.0,0.0,0.0,19632000732623.8,Not specified,,1.0,4.0,1.0,11,1.0,1,0
14344,10596931.0,249000.0,1083.0,apartment,apartment,ganshoren,,86.0,2.0,1.0,2005.0,2.0,0.0,0.0,0.0,1.0,4.0,1.0,100.0,178.0,D,Gas,1.0,4.0,0.0,1,1.0,1,0
14345,10616765.0,175000.0,1200.0,apartment,flat studio,woluwe-saint-lambert,,34.0,2.8,1.0,2023.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.0,F,Gas,1.0,3.0,0.0,1,1.0,1,0
14348,10617887.0,275000.0,8800.0,apartment,duplex,roeselare,Fitted out,150.0,2.0,1.0,1999.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,C,Gas,1.0,2.0,0.0,10,1.0,0,1
14349,10452274.0,299000.0,8301.0,apartment,apartment,heist-aan-zee,,55.0,1.0,1.0,1999.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,A,Gas,1.0,4.0,1.0,10,0.0,1,0
14350,10616739.0,309000.0,2600.0,apartment,apartment,berchem,"Living area (residential, urban or rural)",90.0,2.0,1.0,1985.2,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,152.0,B,Gas,1.0,3.0,0.0,4,0.0,1,0
14351,10616292.0,349000.0,1348.0,apartment,apartment,louvain-la-neuve,,120.0,3.0,1.0,1983.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,193.0,C,Gas,1.0,1.0,1.0,2,0.0,1,0
14352,10617754.0,1149000.0,8300.0,apartment,apartment,knokke-heist,,80.0,2.0,2.0,1991.0,2.0,0.0,0.0,0.0,1.0,2.6,0.0,0.0,90.0,A,,1.0,4.0,2.0,10,0.0,1,0
14354,10616045.0,1695000.0,8300.0,apartment,apartment,knokke-zoute,,110.0,1.0,1.0,1989.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,286.0,C,Gas,1.0,4.0,0.0,10,0.0,1,0
14355,10600616.0,135000.0,4840.0,apartment,ground floor,welkenraedt,,60.0,1.0,1.0,2012.6,2.0,0.0,0.0,0.0,1.0,17.0,1.0,133.0,384.0,E,Gas,1.0,4.0,0.0,6,0.0,1,0
14356,10599522.0,150000.0,1200.0,apartment,flat studio,zaventem sint-stevens-woluwe,"Living area (residential, urban or rural)",37.0,1.8,1.0,1973.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,130.0,C,Gas,1.0,3.0,1.0,1,1.0,1,0
14357,10599521.0,150000.0,1932.0,apartment,flat studio,zaventem sint-stevens-woluwe,"Living area (residential, urban or rural)",37.0,2.4,1.0,1973.0,2.4,0.0,0.0,0.0,1.0,4.0,0.0,0.0,130.0,B,Gas,1.0,3.0,1.0,3,0.0,1,0
14358,10393222.0,199000.0,8400.0,apartment,apartment,oostende,Urban,69.0,1.0,1.0,1966.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,163.0,B,Gas,1.0,1.0,0.0,10,1.0,1,0
14359,10600184.0,260000.0,2170.0,apartment,apartment,antwerpen,Fitted out,85.0,2.0,1.0,1973.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,91.0,A,Gas,1.0,3.0,1.0,4,0.0,1,0
14360,10600633.0,330000.0,1000.0,apartment,flat studio,bruxelles,,64.0,1.0,1.0,1876.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,948.0,G,Gas,1.0,4.0,6.0,1,1.0,1,0
14361,10599329.0,485000.0,2018.0,apartment,apartment,antwerp,Urban,136.0,3.0,1.0,2005.0,2.0,0.0,0.0,0.0,1.0,29.0,0.0,0.0,128.0,B,Gas,1.0,3.0,0.0,4,0.0,1,0
14362,10600881.0,599000.0,1000.0,apartment,loft,bruxelles,,200.0,3.0,2.0,1930.0,2.0,0.0,0.0,0.0,1.0,31.0,0.0,0.0,164.0,D,Gas,1.0,4.0,2.0,1,1.0,1,0
14363,10557113.0,55000.0,6200.0,apartment,apartment,chÂtelineau,,62.0,1.0,1.0,1995.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19632000732717.8,Not specified,,0.0,0.0,0.0,8,1.0,1,0
14364,10557732.0,59000.0,4821.0,apartment,apartment,dison andrimont,Urban,45.0,1.0,1.0,1899.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1286.0,G,,0.0,2.0,1.0,6,0.0,1,0
14365,10565933.0,69000.0,4020.0,apartment,flat studio,liege,Urban,37.0,1.0,1.0,1919.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.0,D,Gas,1.0,2.0,0.0,6,0.0,1,0
14366,10494910.0,99000.0,4100.0,apartment,apartment,seraing,,65.0,1.0,1.0,1982.6,2.4,0.0,0.0,0.0,0.0,0.0,1.0,58.4,430.0,F,Gas,1.0,3.6,0.0,6,1.0,1,0
14367,10408425.0,100000.0,8400.0,apartment,apartment,oostende,,60.0,1.0,1.2,1996.8,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,D,Gas,1.0,1.0,0.0,10,1.0,1,0
14368,10516598.0,105000.0,7110.0,apartment,apartment,la louvière houdeng-goegnies,,60.0,1.0,1.0,2003.0,2.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,99.0,B,Gas,1.0,4.0,0.0,8,0.0,1,0
14369,10017681.0,110000.0,3090.0,apartment,service flat,overijse,Urban,25.0,1.0,1.0,2010.0,2.6,0.0,0.0,0.0,1.0,26.6,0.0,0.0,314.0,D,Electric,1.0,3.0,0.0,3,1.0,1,0
14370,10409927.0,119000.0,8434.0,apartment,apartment,middelkerke,,49.0,1.0,1.2,1997.6,2.8,0.0,0.0,0.0,1.0,42.0,0.0,0.0,559.0,F,Gas,1.0,4.0,0.0,10,0.0,1,0
14371,10179807.0,120000.0,5002.0,apartment,apartment,saint-servais,,50.0,1.0,1.0,2004.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19632000732652.0,E,,0.0,3.0,0.0,7,0.0,1,0
14372,10263754.0,125000.0,4000.0,apartment,duplex,liege,Urban,61.0,2.0,1.0,2004.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,D,Gas,1.0,3.0,0.0,6,1.0,0,1
14373,10463295.0,125000.0,4500.0,apartment,apartment,huy,,50.0,2.0,1.0,1961.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,301.0,D,Gas,1.0,3.2,0.0,6,0.0,1,0
14374,10501811.0,139000.0,4130.0,apartment,apartment,esneux,,90.0,2.0,1.0,1985.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,E,Electric,1.0,3.0,0.0,6,0.0,1,0
14375,10502297.0,149000.0,4130.0,apartment,apartment,esneux,,93.0,2.0,1.0,1990.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,G,Electric,1.0,3.0,0.0,6,0.0,1,0
14376,10562984.0,159000.0,5070.0,apartment,apartment,fosses-la-ville,,71.0,1.0,1.0,1850.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,C,Pellet,1.0,3.0,0.0,7,0.0,1,0
14377,10348421.0,159900.0,8900.0,apartment,apartment,ieper,,93.0,2.0,1.0,1982.2,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,111.0,B,,1.0,3.0,0.0,10,0.0,1,0
14378,10521309.0,195000.0,8930.0,apartment,apartment,menen,,40.0,1.0,2.0,2005.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19632000732582.6,Not specified,Gas,1.0,3.0,0.0,10,0.0,1,0
14379,10501087.0,198000.0,1210.0,apartment,penthouse,saint-josse-ten-noode,,64.0,1.0,1.0,1973.0,2.2,0.0,0.0,0.0,1.0,17.0,0.0,0.0,585.0,G,Gas,1.0,3.6,0.0,1,1.0,0,1
14380,10577182.0,199000.0,6700.0,apartment,apartment,freylange (arlon),,126.0,1.0,1.0,1994.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.0,E,Fuel oil,1.0,3.0,0.0,9,0.0,1,0
14381,10577155.0,200000.0,5580.0,apartment,apartment,jemelle,,48.0,1.0,1.0,1993.6,2.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19632000732660.2,B,Gas,1.0,4.0,1.0,7,0.0,1,0
14383,10559339.0,215000.0,1083.0,apartment,apartment,ganshoren,,60.0,1.0,1.4,1970.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,F,Gas,1.0,4.0,0.0,1,1.0,1,0
14384,10287208.0,219000.0,4000.0,apartment,apartment,liège,,99.0,2.0,1.0,2012.4,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19632000732528.8,Not specified,Gas,1.0,3.0,0.0,6,1.0,1,0
14385,10077389.0,219500.0,2490.0,apartment,apartment,balen,Shop street,84.0,1.0,1.0,2022.0,3.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,19632000732701.0,Not specified,,1.0,3.4,0.0,4,0.0,1,0
